fid,City,Latitude,Longitude,predicted_AQI
1,Agra,27.1767,78.0081,426
2,Ahmedabad,23.0225,72.5714,262
3,Amritsar,31.634,74.8723,117
4,Bengaluru,12.9716,77.5946,303
5,Bhopal,23.2599,77.4126,125
6,Chandigarh,30.7333,76.7794,141
7,Chennai,13.0827,80.2707,228
8,Delhi,28.6139,77.209,334
9,Gandhinagar,23.2156,72.6369,89
10,Gurugram,28.4595,77.0266,144
11,Hyderabad,17.385,78.4867,76
12,Kolkata,22.5726,88.3639,68
13,Lucknow,26.8467,80.9462,363
14,Mumbai,19.076,72.8777,46
15,Noida,28.5355,77.391,372
16,Patna,25.5941,85.1376,119
17,Puducherry,11.9139,79.8145,57
18,Srinagar,34.0837,74.7973,49
19,Ujjain,23.1793,75.7849,181
20,Visakhapatnam,17.6868,83.2185,84
21,Guwahati,26.1445,91.7362,68
